conversation_id_str,full_text,id_str,user_id_str,username,full_text_normalized
1897676439899836768,Gw dukung kettt btw Bahlil kapan mundur?,1897676439899836768,1562843988188573696,Acil_mika,Gw dukung kettt btw Bahlil kapan mundur?
1897675780236423467,tanya bahlil kak,1897675780236423467,1554828450384322561,dooltesnet,tanya bahlil kak
1897301454379212821,Duh.. Bahlil gimana itu menurut bu Susi?,1897675759030067645,465224207,anissudinmarket,Duh.. Bahlil gimana itu menurut bu Susi?
1897673771009691952,bahlil mukanya np kek pelawak sih. cocokan main ovj,1897673771009691952,1041052188,ourbutterlies,bahlil mukanya np kek pelawak sih. cocokan main ovj
1897672863320310057,yg ketawa anaknya bahlil,1897673362408947916,1752591141177012224,ketuaplanett,yang  tertawa  anaknya bahlil
1897667622378127677,ngocok keluar nomer undian hadiah e bahlil,1897673346466386163,772797349265408002,diablejembuy,ngocok keluar nomer undian hadiah e bahlil
1897670875010441648,feeling gw bahlil pasti terlibat akan peristiwa ini,1897673017075085775,1791425278893498368,_ellamigo,feeling saya bahlil pasti terlibat akan peristiwa ini
1897244081790836969,kalo diatas jelek namanya bahlil,1897672903216476564,4892191320,ssssunflowers,kalau  diatas jelek namanya bahlil
1897672368228536365,ga asik ah temen irl gue diajak jokes ani-ani Bahlil pada ilang,1897672368228536365,877960504282566656,akshykn,tidak asik ah teman  irl saya diajak jokes ani-ani Bahlil pada ilang
1897672199177420882,jgn lupa skinkeran biar gakaya bahlil dan gibrus,1897672199177420882,1051428717145206785,tissuepanda,jangan lupa skinkeran biar gakaya bahlil dan gibrus
1897168212678336924,gampang banget kepancing kyk bahlil :(,1897670944807887057,1402227479750668289,sumnsheet,gampang sekali  kepancing kayak  bahlil :(
1896971198531297312,Semoga pemilih yang belum sadar tiap tidur mimpi digerayangjn bahlil.,1897670426291282339,1877864761100320768,Heretics666_,Semoga pemilih yang belum sadar tiap tidur mimpi digerayangjn bahlil.
1897535117507396059,Gibran Bahlil Noel Juli pada ga enak diliat mukanya,1897657467246621090,163722935,gilanugrahp,Gibran Bahlil Noel Juli pada tidak enak diliat mukanya
1897656953242845592,Kacau ini mah siluman gorong-gorong masi aja dikasi spotlight.,1897656953242845592,2843606407,beacuan,Kacau ini mah siluman gorong-gorong masi saja  dikasi spotlight.
1897653786266726587,Jalur bahlil aja.,1897656872972550538,1581847520900091904,sorenavistha,Jalur bahlil aja.
1897414860876738665,adeknya bahlil,1897656804550791299,1507779278196600833,cendol_elisabet,adeknya bahlil
1897606317822611680,mank gw bahlil,1897656513759695244,1381116031410741250,paradisenthu,mank saya bahlil
